Serial #,Host Name,Purchase date,Cost,Purchase From,Manufacturer,Model,Status,Date Added,Building,Room,Category,Name,User,Department,Warranty Info,Warranty Expiration Date (Dell),Warranty Expiration Date (Apple/Microsoft),Warranty Expiration Date,Last Audited Date,Last Audited By,Time Since Last Audit,MAC Address,Wireless MAC Address,Student Machine,Peripherals attached,Dell Kace,Bomgar,Replacement Date,Date Requested,Expected Return Date,Notes,Upgrade Date,System Upgrades,SCCM ID,Images,Archived
9YBVSY1,LB-Spare-L002,10/17/2013,,,Dell,Latitude E6540 ,Spare,,Gorgas,Attic,Dell Laptop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
5V6WGV1,5V6WGV1,8/18/2012,,,Dell,,Spare,,Gorgas,Attic,Dell  Laptop (XPS) ,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
JP84LV1,LB-401-001,10/12/2012,,,Dell,Latitude E6530 ,Spare,,Gorgas,Attic,Dell Laptop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
9ZBVSY1,9ZBVSY1,10/17/2013,,,Dell,Latitude E6540 ,Spare,,Gorgas,Attic,Dell Laptop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
F30VW1,F30VW1,,,,Dell,,Spare,,Gorgas,Attic,Dell  Laptop (XPS) ,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
JS0NQ22,JS0NQ22,12/4/2014,,,Dell,Optiplex 9030 AIO,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
3X7C9Y1,LB-400D-015,8/30/2013,,,Dell,Optiplex 9020 AIO,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
10YC9Y1,10YC9Y1,8/30/2013,,,Dell,Optiplex 9020 AIO,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
8N0L282,LB-208A-005,12/22/2015,,,Dell,,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
8N14282,LB-208A-007,12/22/2015,,,Dell,Optiplex 7440 AIO ,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
8N0J282,LB-208A-003,12/22/2015,,,Dell,Optiplex 7440 AIO ,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
8N0K282,LB-208A-004,12/22/2015,,,Dell,Optiplex 7440 AIO ,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
6WBN382,LB-208A-002,1/29/2016,,,Dell,Optiplex 7440 AIO ,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
8N1F282,LB-2008A-008,12/22/2015,,,Dell,Optiplex 7440 AIO ,Spare,,Gorgas,Attic,Dell Desktop,,Staff,Area Computing Services,,,,,,,,,,,,,,,,,,,,,,
